title,year,rating,rank,genres,plot,directors,actors,release_date,running_time_secs,image_url
(500) Days of Summer,2009,7.8,269,"['Comedy', 'Drama', 'Romance']","An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",['Marc Webb'],"['Zooey Deschanel', 'Joseph Gordon-Levitt', 'Geoffrey Arend']",2009-01-17,5700,http://ia.media-imdb.com/images/M/MV5BMTk5MjM4OTU1OV5BMl5BanBnXkFtZTcwODkzNDIzMw@@._V1_SX400_.jpg
+1,2013,5.6,401,"['Sci-Fi', 'Thriller']","Three college friends hit the biggest party of the year, where a mysterious phenomenon disrupts the night, quickly descending into a chaos that challenges their friendships -- and whether they can stay alive.",['Dennis Iliadis'],"['Rhys Wakefield', 'Logan Miller', 'Ashley Hinshaw']",2013-03-10,5700,http://ia.media-imdb.com/images/M/MV5BMTQwOTA5Mzc3Ml5BMl5BanBnXkFtZTgwOTkxODAxMDE@._V1_SX400_.jpg
10,1979,5.9,2862,"['Comedy', 'Romance']",A Hollywood songwriter goes through a mid-life crisis and becomes infatuated with a sexy blond newlywed.,['Blake Edwards'],"['Dudley Moore', 'Bo Derek', 'Julie Andrews']",1979-10-05,7320,http://ia.media-imdb.com/images/M/MV5BMTg1NDQ1OTIxOV5BMl5BanBnXkFtZTcwOTY2MzMyMQ@@._V1_SX400_.jpg
10 Items or Less,2006,6.6,4401,"['Comedy', 'Drama', 'Romance']","An actor (Freeman) prepping for an upcoming role meets a quirky grocery clerk (Vega), and the pair hit the road to show one another their respective worlds.",['Brad Silberling'],"['Morgan Freeman', 'Paz Vega', 'Jonah Hill']",2006-09-11,4920,http://ia.media-imdb.com/images/M/MV5BMTI1MTU4NjYzMV5BMl5BanBnXkFtZTcwNTg1NzQ0MQ@@._V1_SX400_.jpg
10 Rillington Place,1971,7.5,2605,"['Biography', 'Crime', 'Drama', 'Horror', 'Thriller']",,['Richard Fleischer'],"['Richard Attenborough', 'Judy Geeson', 'John Hurt']",1971-02-10,6660,http://ia.media-imdb.com/images/M/MV5BMTc4MzM5NzAyOF5BMl5BanBnXkFtZTcwNTYyMzExNQ@@._V1_SX400_.jpg
10 Rules for Sleeping Around,2013,0.0,3942,['Comedy'],A screw ball sex comedy following two couples and their ten rules to a happy healthy and open relationship.,['Leslie Greif'],"['Wendi McLendon-Covey', 'Tammin Sursok', 'Jesse Bradford']",NaT,0,http://ia.media-imdb.com/images/M/MV5BMTM5Mzg2MDE1MV5BMl5BanBnXkFtZTcwMTExNzQ1OQ@@._V1_SX400_.jpg
10 Things I Hate About You,1999,7.0,369,"['Comedy', 'Drama', 'Romance']","A new kid must find a guy to date the meanest girl in school, the older sister of the girl he has a crush on, who cannot date until her older sister does.",['Gil Junger'],"['Heath Ledger', 'Julia Stiles', 'Joseph Gordon-Levitt']",1999-03-31,5820,http://ia.media-imdb.com/images/M/MV5BMTI4MzU5OTc2MF5BMl5BanBnXkFtZTYwNzQxMjc5._V1_SX400_.jpg
10 Years,2011,6.0,838,"['Comedy', 'Drama', 'Romance']","The night before their high school reunion, a group of friends realize they still haven't quite grown up in some ways.",['Jamie Linden'],"['Channing Tatum', 'Rosario Dawson', 'Chris Pratt']",2011-09-01,6000,http://ia.media-imdb.com/images/M/MV5BNTY3NTY3ODAzOF5BMl5BanBnXkFtZTcwMTI4MDQyOA@@._V1_SX400_.jpg
"10,000 BC",2008,4.9,1233,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,['Roland Emmerich'],"['Camilla Belle', 'Steven Strait', 'Marco Khan']",2008-02-22,6540,http://ia.media-imdb.com/images/M/MV5BMzc2NDMzNDY4Ml5BMl5BanBnXkFtZTYwNzM2Njk3._V1_SX400_.jpg
100 Degrees Below Zero,2013,2.5,3663,"['Action', 'Sci-Fi']","After freak climate and weather events destroy the world around them, a group of rogue scientists attempt to reverse the deadly new ice age.",['R.D. Braunstein'],"['Jeff Fahey', 'Sara Malakul Lane', 'Marc McKevitt Ewins']",2013-03-29,5340,http://ia.media-imdb.com/images/M/MV5BMTkyODc2MTMzNF5BMl5BanBnXkFtZTcwNTUzNjE1OQ@@._V1_SX400_.jpg
